,movie,location,year,year_group,latitude,longitude
0,Absolute Trust (2009),Fulton Ferry Pier (Near Brooklyn Bridge) Brooklyn.,2009,2000s,40.6927004,-74.001551
1,Absolute Trust (2009),"Ground Zero, Greenwich Street and Liberty Street, Manhattan.",2009,2000s,40.709733,-74.0117711
2,Arthur 2: On the Rocks (1988),Tavern on the Green (btw West 66th and 67th Street) Manhattan.,1988,1980s,40.7665612,-73.9629317
3,Arthur 2: On the Rocks (1988),"Arthur's Apartment, 676 Park Avenue and East 68th Street, Manhattan.",1988,1980s,40.7662476,-73.9602479
4,Arthur 2: On the Rocks (1988),"Sutton Square and Sutton Place, Manhattan.",1988,1980s,40.7580204,-73.9601669
5,Arthur 2: On the Rocks (1988),"Linda's Brownstone, 36 West 89th Street and Central Park West, Manhattan.",1988,1980s,40.7828647,-73.9653551
6,Arthur (1981),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",1981,1980s,40.7828647,-73.9653551
7,Arthur (1981),"5th Avenue and West 58th Street, Manhattan.",1981,1980s,40.7636484,-73.9734618
8,Armageddon (1998),"The Flatiron Building, 175 5th Avenue, Manhattan.",1998,1990s,40.7410605,-73.9896986
9,Armageddon (1998),"Grand Central Terminal, 87 East 42nd Street, Manhattan.",1998,1990s,40.7525304,-73.9773706
10,Armageddon (1998),"Chrysler Building, 405 Lexington Avenue and East 42nd Street, Manhattan.",1998,1990s,40.750354,-73.9734633
11,Arbitrage (2012),"Robert's Apartment, 19 Gramercy Park & East 20th Street, Manhattan.",2012,2010s,40.7359972,-73.9822652
12,Arbitrage (2012),"Julie's Apartment, 77 White Street and Cortlandt Alley, Manhattan.",2012,2010s,40.717786,-74.0022791
13,Arbitrage (2012),"Office, 177 6th Avenue (btw West 45th & 46th Streets) Manhattan.",2012,2010s,40.7609894,-73.9907902
14,Arbitrage (2012),"The Four Seasons Restaurant, 99 East 52nd Street & Park Avenue, Manhattan.",2012,2010s,40.7779534,-73.9589565
15,Arbitrage (2012),"Gallery, 530 West 25th Street (btw 10th & 11th Avenues) Manhattan.",2012,2010s,40.7830603,-73.9712488
16,Arbitrage (2012),696 Park Avenue (between East 68th & 69th Streets) Manhattan.,2012,2010s,39.2342323,-96.6968237
17,Arbitrage (2012),"Police Precinct, West 26th Street and 12th Avenue, Manhattan.",2012,2010s,40.7607442,-74.002077
18,Arbitrage (2012),"101 Park Avenue and East 40th Street, Manhattan.",2012,2010s,40.750881,-73.9787109
19,Arbitrage (2012),"(Near Gapstow Bridge) South East Corner, Central Park, Manhattan.",2012,2010s,40.7669254,-73.9737939
20,Arbitrage (2012),"New York County Supreme Court, 60 Centre Street, Manhattan.",2012,2010s,40.7143245,-74.0014732
21,Arbitrage (2012),"Funeral Chapel, 1076 Madison Avenue and East 81st Street, Manhattan.",2012,2010s,40.7746583,-73.954099
22,Arbitrage (2012),"Le Caprice (Pierre Hotel) 5th Avenue & East 61st Street, Manhattan.",2012,2010s,40.7628086,-73.965688
23,Arbitrage (2012),"Antonucci Cafe, 170 East 81st Street and Lexington Avenue, Manhattan.",2012,2010s,40.773008,-73.96032
24,Arbitrage (2012),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",2012,2010s,40.7828647,-73.9653551
25,The April Fools (1969),"John F Kennedy International Airport, Queens.",1969,1960s,40.6413111,-73.7781391
26,The April Fools (1969),"Naumburg Bandshell, Central Park, Manhattan.",1969,1960s,40.7711329,-73.9741874
27,The April Fools (1969),"Howard's Workplace, 140 Broadway and Liberty Street, Manhattan.",1969,1960s,40.709733,-74.0117711
28,The April Fools (1969),"United Nations Plaza and East 48th Street, Manhattan.",1969,1960s,40.7527056,-73.9671922
29,The April Fools (1969),"Catherine's Workplace, United Nations Plaza and East 48th Street, Manhattan.",1969,1960s,40.7545861,-73.9717144
30,The April Fools (1969),"Zoo, Central Park (near 5th Avenue) Manhattan.",1969,1960s,40.774734,-73.9653844
31,The April Fools (1969),"Delmonico's Bar, 56 Beaver Street and William Street, Manhattan.",1969,1960s,40.7078285,-74.0081598
32,The Apartment (1960),"C.C. Baxter's Offices, 2 Broadway and Stone Street, Manhattan.",1960,1960s,40.7040168,-74.0116028
33,The Apartment (1960),"Majestic Theatre, 247 West 44th Street and 8th Avenue, Manhattan.",1960,1960s,40.8165192,-73.9465432
34,The Apartment (1960),"205 Columbus Avenue and West 69th Street, Manhattan.",1960,1960s,40.775487,-73.9802007
35,The Apartment (1960),West 69th Street (btw Broadway and Columbus Avenue) Manhattan.,1960,1960s,40.7854736,-73.9729361
36,The Apartment (1960),"West Drive (Near Columbus Circle) Central Park, Manhattan.",1960,1960s,40.7680902,-73.9813616
37,Any Wednesday (1966),"Ellen's Apartment, 165 East 64th Street and Lexington Avenue, Manhattan.",1966,1960s,40.773008,-73.96032
38,Any Wednesday (1966),"Playground, East 56th Street and Sutton Place, Manhattan.",1966,1960s,40.7576281,-73.961698
39,Any Wednesday (1966),"Sutton Square and Sutton Place, Manhattan.",1966,1960s,40.7580204,-73.9601669
40,Anything Else (2003),Reservoir Bridge Central Park (West 94th Street) Manhattan.,2003,2000s,40.7927713,-73.97133
41,Anything Else (2003),"Greywacke Arch, Central Park, Manhattan.",2003,2000s,40.7711329,-73.9741874
42,Anything Else (2003),"Isabella's Restaurant, 359 Columbus Avenue and West 77th Street, Manhattan.",2003,2000s,40.7818433,-73.9792822
43,Anything Else (2003),"Stage Deli, 834 7th Avenue and West 53rd Street, Manhattan.",2003,2000s,40.7641748,-73.9847444
44,Anything Else (2003),"Jerry Falk's Apartment, 52 East 82nd Street and Park Avenue, Manhattan.",2003,2000s,40.7779534,-73.9589565
