,movie,location,year,year_group
0,Absolute Trust (2009),Fulton Ferry Pier (Near Brooklyn Bridge) Brooklyn.,2009,2000s
1,Absolute Trust (2009),"Ground Zero, Greenwich Street and Liberty Street, Manhattan.",2009,2000s
2,Arthur 2: On the Rocks (1988),Tavern on the Green (btw West 66th and 67th Street) Manhattan.,1988,1980s
3,Arthur 2: On the Rocks (1988),"Arthur's Apartment, 676 Park Avenue and East 68th Street, Manhattan.",1988,1980s
4,Arthur 2: On the Rocks (1988),"Sutton Square and Sutton Place, Manhattan.",1988,1980s
5,Arthur 2: On the Rocks (1988),"Linda's Brownstone, 36 West 89th Street and Central Park West, Manhattan.",1988,1980s
6,Arthur (1981),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",1981,1980s
7,Arthur (1981),"5th Avenue and West 58th Street, Manhattan.",1981,1980s
8,Armageddon (1998),"The Flatiron Building, 175 5th Avenue, Manhattan.",1998,1990s
9,Armageddon (1998),"Grand Central Terminal, 87 East 42nd Street, Manhattan.",1998,1990s
10,Armageddon (1998),"Chrysler Building, 405 Lexington Avenue and East 42nd Street, Manhattan.",1998,1990s
11,Arbitrage (2012),"Robert's Apartment, 19 Gramercy Park & East 20th Street, Manhattan.",2012,2010s
12,Arbitrage (2012),"Julie's Apartment, 77 White Street and Cortlandt Alley, Manhattan.",2012,2010s
13,Arbitrage (2012),"Office, 177 6th Avenue (btw West 45th & 46th Streets) Manhattan.",2012,2010s
14,Arbitrage (2012),"The Four Seasons Restaurant, 99 East 52nd Street & Park Avenue, Manhattan.",2012,2010s
15,Arbitrage (2012),"Gallery, 530 West 25th Street (btw 10th & 11th Avenues) Manhattan.",2012,2010s
16,Arbitrage (2012),696 Park Avenue (between East 68th & 69th Streets) Manhattan.,2012,2010s
17,Arbitrage (2012),"Police Precinct, West 26th Street and 12th Avenue, Manhattan.",2012,2010s
18,Arbitrage (2012),"101 Park Avenue and East 40th Street, Manhattan.",2012,2010s
19,Arbitrage (2012),"(Near Gapstow Bridge) South East Corner, Central Park, Manhattan.",2012,2010s
20,Arbitrage (2012),"New York County Supreme Court, 60 Centre Street, Manhattan.",2012,2010s
21,Arbitrage (2012),"Funeral Chapel, 1076 Madison Avenue and East 81st Street, Manhattan.",2012,2010s
22,Arbitrage (2012),"Le Caprice (Pierre Hotel) 5th Avenue & East 61st Street, Manhattan.",2012,2010s
23,Arbitrage (2012),"Antonucci Cafe, 170 East 81st Street and Lexington Avenue, Manhattan.",2012,2010s
24,Arbitrage (2012),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",2012,2010s
25,The April Fools (1969),"John F Kennedy International Airport, Queens.",1969,1960s
26,The April Fools (1969),"Naumburg Bandshell, Central Park, Manhattan.",1969,1960s
27,The April Fools (1969),"Howard's Workplace, 140 Broadway and Liberty Street, Manhattan.",1969,1960s
28,The April Fools (1969),"United Nations Plaza and East 48th Street, Manhattan.",1969,1960s
29,The April Fools (1969),"Catherine's Workplace, United Nations Plaza and East 48th Street, Manhattan.",1969,1960s
30,The April Fools (1969),"Zoo, Central Park (near 5th Avenue) Manhattan.",1969,1960s
31,The April Fools (1969),"Delmonico's Bar, 56 Beaver Street and William Street, Manhattan.",1969,1960s
32,The Apartment (1960),"C.C. Baxter's Offices, 2 Broadway and Stone Street, Manhattan.",1960,1960s
33,The Apartment (1960),"Majestic Theatre, 247 West 44th Street and 8th Avenue, Manhattan.",1960,1960s
34,The Apartment (1960),"205 Columbus Avenue and West 69th Street, Manhattan.",1960,1960s
35,The Apartment (1960),West 69th Street (btw Broadway and Columbus Avenue) Manhattan.,1960,1960s
36,The Apartment (1960),"West Drive (Near Columbus Circle) Central Park, Manhattan.",1960,1960s
37,Any Wednesday (1966),"Ellen's Apartment, 165 East 64th Street and Lexington Avenue, Manhattan.",1966,1960s
38,Any Wednesday (1966),"Playground, East 56th Street and Sutton Place, Manhattan.",1966,1960s
39,Any Wednesday (1966),"Sutton Square and Sutton Place, Manhattan.",1966,1960s
40,Anything Else (2003),Reservoir Bridge Central Park (West 94th Street) Manhattan.,2003,2000s
41,Anything Else (2003),"Greywacke Arch, Central Park, Manhattan.",2003,2000s
42,Anything Else (2003),"Isabella's Restaurant, 359 Columbus Avenue and West 77th Street, Manhattan.",2003,2000s
43,Anything Else (2003),"Stage Deli, 834 7th Avenue and West 53rd Street, Manhattan.",2003,2000s
44,Anything Else (2003),"Jerry Falk's Apartment, 52 East 82nd Street and Park Avenue, Manhattan.",2003,2000s
45,Anything Else (2003),"Charles Street and Bleecker Street, Greenwich Village, Manhattan.",2003,2000s
46,Anything Else (2003),"Les Pierre Antiques, 369 Bleecker Street and Charles Street, Manhattan.",2003,2000s
47,Anything Else (2003),"East River, near Queensboro Bridge, Manhattan.",2003,2000s
48,Anything Else (2003),"H B Studio Inc, 120 Bank Street and Greenwich Street, Manhattan.",2003,2000s
49,Anything Else (2003),"Quad Cinema, 34 West 13th Street (btw 5th and 6th Avenues) Manhattan.",2003,2000s
50,Anything Else (2003),"Brownstone, 441 East 87th Street (btw 1st Avenue & York Avenue) Manhattan.",2003,2000s
51,Anything Else (2003),"Sant Ambroeus Restaurant, 1000 Madison Avenue and East 78th Street, Manhattan.",2003,2000s
52,Anything Else (2003),"Madison Avenue and East 78th Street, Manhattan.",2003,2000s
53,Antz (1998),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",1998,1990s
54,Another Woman (1988),"Bedford Street and Barrow Street, Greenwich Village, Manhattan.",1988,1980s
55,Another Woman (1988),"Barrow Street and Commerce Street, Greenwich Village, Manhattan.",1988,1980s
56,Another Woman (1988),"Cherry Lane Theatre, 38 Commerce Street and Bedford Street, Manhattan.",1988,1980s
57,The Anomaly (2014),"(Side Entrance) 72 Walker Street and Cortlandt Alley, Manhattan.",2014,2010s
58,The Anomaly (2014),"Cortlandt Alley and White Street, Manhattan.",2014,2010s
59,The Anomaly (2014),"Times Square, Manhattan.",2014,2010s
60,Annie Hall (1977),"Annie Hall's Apartment, East 68th Street and Madison Avenue, Manhattan.",1977,1970s
61,Annie Hall (1977),East 66th Street (btw 2nd and 3rd Avenue) Manhattan.,1977,1970s
62,Annie Hall (1977),"Pier 11, East River, Manhattan.",1977,1970s
63,Annie Hall (1977),"West 63rd Street and Columbus Avenue, Manhattan.",1977,1970s
64,Annie (2014),"School, East 11th Street (btw Avenue A and 1st Avenue) Manhattan.",2014,2010s
65,Annie (2014),"Subway, Franklin Street and West Broadway, Manhattan.",2014,2010s
66,Annie (2014),"Anchorage Place and Plymouth Street, Brooklyn.",2014,2010s
67,Annie (2014),"Lexington Avenue and East 116th Street, East Harlem.",2014,2010s
68,Annie (2014),"Cortlandt Alley and Walker Street, Manhattan.",2014,2010s
69,Annie (2014),Walker Street (btw Broadway and Cortlandt Alley) Manhattan.,2014,2010s
70,Annie (2014),"Ms. Hannigan Apartment, 366 West 127th Street and St. Nicholas Terrace, Harlem.",2014,2010s
71,Annie (2014),"250 Greenwich Street and Barclay Street, Manhattan.",2014,2010s
72,Annie (2014),"Will Stacks' Apartment, 150 Greenwich Street and Liberty Street, Manhattan.",2014,2010s
73,Annie (2014),"Beacon Theatre, 2124 Broadway and West 74th Street, Manhattan.",2014,2010s
74,Annie (2014),"West 4th Street and West 12th Street, Manhattan.",2014,2010s
75,Annie (2014),"Downtown Manhattan Heliport, 6 East River Piers, Manhattan.",2014,2010s
76,Annie (2014),"Guggenheim Museum, 1071 5th Avenue and East 89th Street, Manhattan.",2014,2010s
77,Annie (2014),"10th Avenue and West 55th Street, Manhattan.",2014,2010s
78,Annie (2014),"Roosevelt Avenue and 55th Streets, Elmhurst, Queens.",2014,2010s
79,Annie (2014),"Cafe Cluny, 284 West 12th Street and West 4th Street, Manhattan.",2014,2010s
80,Annie (2014),"Shop, 357 West 127th Street and St Nicholas Terrace, Harlem.",2014,2010s
81,Annie (2014),"Liberty State Park, Upper New York Bay, New Jersey",2014,2010s
82,Annie (2014),"East Harlem School, 309 East 103rd Street (btw 1st and 2nd Avenues) East Harlem.",2014,2010s
83,Annie (1982),"Radio City Music Hall, 1260 6th Avenue and West 50th Street, Manhattan.",1982,1980s
