,cost
0,21.9059330191
1,12.3412139793
2,6.60182614357
3,4.68776951197
4,3.54156118026
5,3.2244064477
6,3.08252143577
7,2.99905966404
8,21.9727024365
9,12.4079833967
10,6.66859556095
11,4.75453892935
12,3.60833059764
13,3.29117586508
14,3.14929085315
15,3.06582908142
16,28.3742203279
17,16.5143025656
18,9.3977954964
19,7.02748117937
20,5.60306694191
21,5.19410426045
22,5.00770630359
23,4.89642394129
24,22.4150498267
25,12.8503307868
26,7.11372501015
27,5.19966837856
28,4.05067798779
29,3.73630531429
30,3.59442030235
31,3.51095853063
32,10.0042843709
33,21.994958909
34,12.4302398691
35,6.69085203341
36,4.77957746087
37,3.6305870701
38,3.3162143966
39,3.17432938466
40,3.08808555388
41,3.43306087702
42,8.56317777914
43,20.9349944081
44,11.3702753682
45,5.63366959154
46,3.71961295994
47,2.57340462823
48,2.25624989567
49,2.11436488374
50,2.03090311201
51,20.7819811599
52,11.21726212
53,5.47787428432
54,3.56659971178
55,2.41760932101
56,2.10323664751
57,1.96135163557
58,1.87788986385
59,2.73754611263
60,16.7090466996
61,10.151733501
62,25.0190571045
63,14.5863356387
64,11.1087618168
65,9.36997490583
66,8.32670275925
67,7.63118799486
68,94.025249968
69,4.82965452391
70,22.6626530828
71,16.9538678967
72,11.6763018645
73,8.96935840154
74,1.56351719034
75,228.148317132
76,7.83427830606
77,2.94063642383
78,29.5593774865
79,17.6994597241
80,10.5829526549
81,8.20985627883
82,6.78822410042
83,6.37926141896
84,6.19286346211
85,6.0815810998
86,38.7874673804
87,27.9596935284
88,22.5931016064
89,16.5755078649
90,28.6468621156
91,16.7869443533
92,9.67043728404
93,7.30012296701
94,5.87570872954
95,5.46952810714
96,5.28034809123
97,5.16906572893
98,11.9155589435
99,8.64663955086
100,7.22778943151
101,6.45159495446
102,21.3217006171
103,11.7569815772
104,6.02037580054
105,4.10631916894
106,2.95732877818
107,2.64295610467
108,2.50107109274
109,2.41760932101
110,2.37587843515
111,1.54960689506
112,2.18391636018
113,1.26305481213
114,4.78792363804
115,10.7470941393
116,22.5068577756
117,12.9421387357
118,7.2027509
119,5.29147632746
120,4.14248593669
121,3.82533120413
122,3.68622825125
123,3.59998442047
124,35.3043294403
125,23.157859595
126,18.7928089337
127,16.2472248961
128,21.6054706409
129,12.0407516011
130,6.30136376535
131,4.38730713376
132,3.24109880205
133,2.92394406948
134,2.78205905755
135,2.69859728582
136,21.5387012235
137,11.9739821837
138,6.23459434797
139,4.32053771637
140,3.17432938466
141,2.8571746521
142,2.71807169923
143,2.63182786844
144,21.4914062196
145,11.9266871797
146,6.18729934399
147,4.2732427124
148,3.12703438069
149,2.80987964813
150,2.66799463619
151,2.58453286446
152,21.4914062196
153,11.9266871797
154,6.18729934399
155,4.2732427124
156,3.12703438069
157,2.80987964813
158,2.66799463619
159,2.58453286446
160,21.5971244638
161,12.0324054239
162,6.29301758818
163,4.37896095658
164,3.23275262487
165,2.91559789231
166,2.77371288038
167,2.69025110865
168,21.5637397551
169,11.9990207152
170,6.25963287949
171,4.34557624789
172,3.19936791618
173,2.88221318362
174,2.74311023074
175,2.65686639996
176,21.1909438414
177,11.6262248015
178,5.88683696578
179,3.97556239324
180,2.82657200247
181,2.51219932897
182,2.37031431703
183,2.28685254531
184,21.2159823729
185,11.651263333
186,5.91187549729
187,4.00060092476
188,2.85161053399
189,2.53723786049
190,2.39535284855
191,2.30910901777
192,7.56163651842
193,21.5387012235
194,11.9739821837
195,6.23459434797
196,4.32053771637
197,3.17432938466
198,2.8571746521
199,2.71807169923
200,2.63182786844
201,21.5720859322
202,12.0073668924
203,6.26797905666
204,4.35392242507
205,3.20771409335
206,2.89055936079
207,2.75145640792
208,2.66521257713
209,21.5971244638
210,12.0324054239
211,6.29301758818
212,4.37896095658
213,3.23275262487
214,2.91559789231
215,2.77371288038
216,2.69025110865
217,21.3801238573
218,11.8154048174
219,6.07879904075
220,4.16474240915
221,3.01853407744
222,2.70137934488
223,2.55949433295
224,2.47603256122
225,27.3420764176
226,17.1513940898
227,11.0364282813
228,8.99996105117
229,7.77585506585
230,7.43644386083
231,7.28064855361
232,7.18884060471
233,7.09425059675
234,29.487043951
235,7.93165037307
236,3.95330592078
237,107.838173189
238,61.9648013888
239,46.4270015524
240,38.8403265025
241,34.2888778843
242,23.5584760993
243,20.6150576164
244,18.8456680558
245,17.6688570745
246,31.2369590982
247,21.0462767704
248,14.9340930209
249,12.8948437317
250,11.6735198055
251,11.3313265414
252,11.1783132932
253,11.0865053443
254,1.30756775705
255,5.63923370965
256,24.991236514
257,5.269219855
258,1.62750454867
259,21.655547704
260,12.0908286641
261,6.35144082839
262,4.44016625585
263,3.29117586508
264,2.97680319158
